host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
36.92.22.70;36.92.22.70;8080;5521;920;1643084;ID;Indonesia;;122;188;1;1;0;0;0
208.109.52.52;208.109.52.52;39008;5522;5100;5313457;US;United States;Scottsdale;242;53;4;0;0;0;1
103.106.238.230;103.106.238.230;50941;5525;5100;1210997;BD;Bangladesh;;962;928;4;1;0;0;0
101.255.122.73;101.255.122.73;8080;5530;4240;1642911;ID;Indonesia;Jakarta;443;515;1;1;0;0;0
203.45.16.197;203.45.16.197;8080;5532;5100;2146845;AU;Australia;Thirroul;437;959;1;1;0;0;0
36.255.86.236;36.255.86.236;83;5533;5100;1277333;IN;India;Bengaluru;188;320;1;1;0;0;0
62.152.75.110;62.152.75.110;50287;5539;1960;504003;RU;Russian Federation;"""Tsarskoye Selo""";4119;1980;4;1;0;0;0
51.81.31.64;51.81.31.64;29552;5563;880;6252001;US;United States;;15;1;4;0;0;1;1
91.203.224.177;91.203.224.177;36731;5589;5100;2017370;RU;Russian Federation;;1181;1159;4;1;0;0;0
191.37.183.209;191.37.183.209;34720;5596;2580;6317445;;;;1434;277;4;0;0;1;0
62.210.209.94;62.210.209.94;8118;5601;2220;3017382;FR;France;;596;783;4;1;0;0;0
114.33.189.29;114.33.189.29;34275;5611;5080;1668355;TW;Taiwan;"""Tainan City""";35;139;4;1;0;0;0
47.52.231.140;47.52.231.140;8080;5616;4200;1819730;HK;Hong Kong;;20709;3232;4;1;0;0;0
217.8.227.22;217.8.227.22;35448;5616;2600;2017370;RU;Russian Federation;;68;181;4;1;0;0;0
186.225.43.49;186.225.43.49;33897;5619;1060;6317267;;;;1170;77;4;0;0;1;0
200.35.56.161;200.35.56.161;35945;5620;980;3672068;CO;Colombia;"""Planeta Rica""";538;641;4;1;0;0;0
146.88.51.237;146.88.51.237;80;5620;1460;1605651;TH;Thailand;;1467;363;4;1;0;0;0
108.74.113.180;108.74.113.180;80;5628;2040;4180439;US;United States;Atlanta;512;399;4;1;0;0;0
125.59.153.98;125.59.153.98;8380;5628;2100;1819731;HK;Hong Kong;"""Ho Man Tin""";105;98;4;1;0;0;0
85.62.27.5;85.62.27.5;8888;5629;1420;3110040;ES;Spain;"""San Sebastián de los Reyes""";374;266;4;1;0;0;0
46.167.233.32;46.167.233.32;40627;5658;5100;3063127;CZ;Czech Republic;"""Velky Tynec""";76;78;4;0;0;1;0
190.111.231.8;190.111.231.8;8080;5737;5100;3435910;AR;Argentina;"""Buenos Aires""";1002;366;4;0;1;0;0
