city_id|city_name|region_id|region_name|uik_id|uik_name|F1|F2|F3|F4|F5|F6|F7|F8|F9|F10|F11|F12|F13|F14|F15|F16|
1|Москва|2|район Вешняки|893|УИК №893|1370|1000|371|33|596|33|371|16|388|0|0|8|25|52|29|274|
1|Москва|2|район Вешняки|894|УИК №894|2517|1900|679|50|1171|50|677|16|711|0|0|10|53|81|35|532|
1|Москва|2|район Вешняки|895|УИК №895|2362|1800|584|40|1176|40|580|22|598|0|0|10|45|64|57|422|
1|Москва|2|район Вешняки|896|УИК №896|2143|1600|655|36|909|36|655|20|671|0|0|11|59|96|43|462|
1|Москва|2|район Вешняки|897|УИК №897|1979|1500|515|31|954|31|515|11|535|0|0|5|28|78|28|396|
1|Москва|2|район Вешняки|898|УИК №898|2060|1600|549|50|1001|50|548|13|585|0|0|18|32|80|48|407|
1|Москва|2|район Вешняки|899|УИК №899|2115|1600|557|140|903|140|557|20|677|0|0|11|40|81|47|498|
1|Москва|2|район Вешняки|900|УИК №900|1941|1400|530|42|828|42|530|15|557|0|0|5|48|67|37|400|
1|Москва|2|район Вешняки|901|УИК №901|222|150|85|1|64|1|85|3|83|0|0|1|6|6|5|65|
1|Москва|2|район Вешняки|902|УИК №902|1630|1300|533|16|751|16|533|16|533|0|0|10|48|64|38|373|
1|Москва|2|район Вешняки|903|УИК №903|1980|1500|469|27|1004|27|469|18|478|0|0|10|39|83|29|317|
1|Москва|2|район Вешняки|904|УИК №904|2051|1500|545|40|915|40|543|19|564|0|0|8|27|101|47|381|
1|Москва|2|район Вешняки|905|УИК №905|2393|1800|689|39|1072|39|688|25|702|0|0|17|74|118|46|447|
1|Москва|2|район Вешняки|906|УИК №906|1828|1400|501|23|876|23|500|19|504|0|0|13|50|76|44|321|
1|Москва|2|район Вешняки|907|УИК №907|1900|1500|535|26|939|26|535|26|535|0|0|21|60|80|66|308|
1|Москва|2|район Вешняки|908|УИК №908|1038|800|347|9|444|9|344|12|341|0|0|11|20|48|22|240|
1|Москва|2|район Вешняки|909|УИК №909|2008|1500|516|30|954|30|512|22|520|0|0|14|46|73|35|352|
1|Москва|2|район Вешняки|910|УИК №910|2359|1800|655|24|1121|24|654|21|657|0|0|24|51|97|54|431|
1|Москва|2|район Вешняки|911|УИК №911|2285|1700|666|47|987|47|665|41|671|0|0|17|52|96|44|462|
1|Москва|2|район Вешняки|912|УИК №912|2073|1600|633|21|946|21|633|26|628|0|0|10|71|115|53|379|
1|Москва|2|район Вешняки|913|УИК №913|2291|1700|639|37|1024|37|639|22|654|0|0|16|50|74|54|460|
1|Москва|2|район Вешняки|914|УИК №914|2246|1700|701|23|976|23|699|30|692|0|0|14|58|98|53|469|
1|Москва|2|район Вешняки|915|УИК №915|1496|1100|488|49|563|49|439|15|473|0|0|17|46|51|34|325|
1|Москва|2|район Вешняки|916|УИК №916|1944|1500|601|72|827|72|601|16|657|0|0|8|56|68|46|479|
1|Москва|2|район Вешняки|917|УИК №917|1987|1500|479|29|992|29|477|18|488|0|0|12|53|83|43|297|
1|Москва|2|район Вешняки|3667|УИК №3667|977|1000|537|367|96|367|534|13|888|0|0|18|65|78|69|658|
1|Москва|2|район Вешняки|3668|УИК №3668|77|150|76|0|74|0|76|3|73|0|0|1|9|8|7|48|
1|Москва|2|район Вешняки|5001|УИК №5001|746|950|409|56|485|56|408|7|457|0|0|5|16|33|23|380|
1|Москва|2|район Вешняки|5002|УИК №5002|686|800|411|123|266|123|411|7|527|0|0|11|32|66|34|384|
1|Москва|2|район Вешняки|5003|УИК №5003|875|1000|528|70|402|70|528|15|583|0|0|12|31|68|44|428|
1|Москва|2|район Вешняки|5004|УИК №5004|420|600|184|33|383|33|184|3|214|0|0|2|6|30|12|164|
1|Москва|2|район Вешняки|5005|УИК №5005|512|700|322|24|354|24|322|9|337|0|0|6|15|33|26|257|
1|Москва|2|район Вешняки|5006|УИК №5006|748|900|462|69|369|69|462|11|520|0|0|8|23|56|41|392|
